Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
ORNELLA (ORNELLA), la confection de tous vetements d'hommes de femmes ou d'enfants en matieres textiles ou en cuir..., Rue I N10 Lotissement El Mers Hay El Oulfa,Casablanca,33.55015 : -7.574055, 50155,Tribunal de Casablanca, 001514513000051,Societe Anonyme, 200 000
PYROCARBONE (STE ANONYME), toutes operations commerciales industrielles mobilieres immobilieres et financieres se rattachant direct ou indirect a l'objet, 12 Avenue Dar El Maghzen,Rabat,34.020719 : -6.837326, 12620,Tribunal de Rabat,,Societe Anonyme, 2 000 000
SOCOF (STE) (SOCOF), confection, 13 Rue De Pelvoux Maarif,Casablanca,33.58028 : -7.635305, 36511,Tribunal de Casablanca,,Societe Anonyme, 1 000 000
BARSAL (TRANSPORT), transport de marchandises, 26 Rue Peronne,Casablanca,33.596045 : -7.589534, 88873,Tribunal de Casablanca, 000528795000062,Societe a Responsabilite Limitee, 100 000
SOCIETE D'EQUIPEMENT ET CONSTRUCTION EL AHMADI ET MADRASSI, travaux de construction vente de tous materiaux de construction, 6 Rue Baamrane Sidi Belyout,Casablanca,33.59483 : -7.60044, 133941,Tribunal de Casablanca, 001541655000052,Societe a Responsabilite Limitee a Associe Unique, 100 000
CEDRE D'AZROU, menuiserie, Syba 4 N22bis Rue Amizmiz,Marrakech,31.60852 : -7.9717, 11383,Tribunal de Marrakech, 001801105000048,Societe a Responsabilite Limitee, 100 000
LOYAL LOCATION, loueur de vehicules automobiles, Avenue Mohamed V N427,Kenitra,34.279352 : -6.544314, 26037,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 100 000
GENERALE DES COLLES ET PRODUITS CHIMIQUES (GEPROC), fabricant de produits chimiques vendant en gros, 5 Rue D'artois,Casablanca,33.58694440000001 : -7.6111111000000164, 46787,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
COMPETITIF TEXTILE," la confection de chemiserie, bonneterie et lingerie", 214 Bd Abdellah Ben Yacine,Casablanca,33.58993 : -7.5965, 49967,Tribunal de Casablanca,,Societe Anonyme, 1 000 000
COMPTOIR MIDI FAC, commercialisation de materiel et produit de construction, Av Abi Houraira Rue Zaire N7,Fes,34.01777 : -4.98728, 19963,Tribunal de Fes,,Societe a Responsabilite Limitee, 100 000
SANS FRERES, vente en gros demi-gros et detail de tous les articles textiles confectionnes ou pas commerce de tous articles bruts en manufactures, 111 Av Du General Drude,Casablanca,33.593265 : -7.61261, 15933,Tribunal de Casablanca,,Societe Anonyme, 1 100 000
GROUPE ESPAGNOL POUR LE MATERIEL ELECTRIQUE," prospection de nouveaux marches et fabrication, vente, commercialisation importation, exportation de tout type de produits electriques, electronique telecom ict au marche marocain"," 14 Bd Zerktouni, 9eme Etage Ndeg18",Casablanca,33.58694440000001 : -7.6111111000000164, 168433,Tribunal de Casablanca, 000159570000059,Societe a Responsabilite Limitee, 40 000
ATTARFIH, 1/ tenant un salon de the 2/ traiteur et snack, Immeuble Dar Salam N 26 Boulevard De Akrach.,Rabat,33.994061 : -6.806792, 40471,Tribunal de Rabat, 001661520000005,Societe a Responsabilite Limitee a Associe Unique, 100 000
ETUDES ET DE REALISATIONS DE TRAVAUX D'EQUIPEMENT (STE D') (SERTEQ)," fabrication, montage, pose, installation, preparation, entretien, achat, vente ferme ou a la commission, location, divers materiels d'equipement", 17 Rue De L'atlas,Casablanca,33.58294 : -7.63234, 36243,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 100
SEMLALI, la promotion immobiliere, 78 Rue De Fes,Tanger-Assilah,35.74676 : -5.80658, 9649,Tribunal de Tanger,,Societe Anonyme, 10 000
NASR DE L'ORIENTAL (LES BOULANGERIES), exploitant de boulangerie par procedes mecanique, Rue Mostafa Kamal N6,Oujda-Angad,34.677941 : -1.911003, 14957,Tribunal de Oujda, 001626877000092,Societe a Responsabilite Limitee, 200 000
BILAD (STE IMPRIMERIE PAPETERIE AL), editeur de journaux et priodiques imprimeur typographe, Rue Oslo N15,Rabat,34.024925 : -6.84504, 40669,Tribunal de Rabat,,Societe Anonyme, 780 000
TANGER (STE NOUVELLE DE CREDIT MOBILIER DE)," exploitation de prets sur gages, nantissement", 17 Bd Pasteur,Tanger-Assilah,35.78028 : -5.81034, 1413,Tribunal de Tanger,,Societe Anonyme, 12 000
CONTACT VISION, exploitant de machines pour le tirage des dessins import export, Km 21 Route D'el Jadida,Settat,33.005873 : -7.616728, 873,Tribunal de Berrechid, 001456252000049,Societe a Responsabilite Limitee, 100 000
POLYCLINIQUE CORNETTE DE SAINT CYR, exploitation de toutes maison chinurgicales.," 22, Esplanade Du Docteur Giguet, (vn)",Meknes (M),33.904116 : -5.551915, 17555,Tribunal de Meknes,,Societe Anonyme, 3 400 000
H ET HS (H ET HS), courtier de publicite, N81 Bd De Paris,Casablanca,33.59214 : -7.616725, 50939,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 50 000
EXTRAFER, negociant en aciers.,N/A,N/A,33.58694440000001 : -7.6111111000000164, 92345,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 500 000
MARRAKECH (BOUCHERIE) (BOUMA), marchand boucher en detail, 120 Rue Jacquemin,Casablanca,33.5936 : -7.63429, 47423,Tribunal de Casablanca, 001514414000008,Societe a Responsabilite Limitee, 50 000
LOUISIANE (CREMERIE), l'exploitation d'un ets de consommation de glaces et de boissons,N/A,N/A,33.594516 : -7.628428, 42301,Tribunal de Casablanca,,Societe Anonyme, 300 000
MAROCO ESPAGNOLE DE PECHES MARITIMES (STE) (SOMAEP), armateur pour la peche, 3 Rue Al Mambona,Rabat,34.015049 : -6.83272, 26325,Tribunal de Rabat,,Societe Anonyme, 10 000
STE DES CARREAUX AL ANDALOUS, production des carreaux artisanaux, Rue 3 Imm 4 Appt 1 Ville Nouvelle,Sidi-Kacem,34.225257 : -5.70977, 24505,Tribunal de Sidi Kacem, 001619274000024,Societe a Responsabilite Limitee, 100 000
MAXIM'S (PRET-A-PORTER)," commerce de textiles de tous genres, articles de mercerie et bonneterie", 28 Rue Du Capitaine Bertrandon,Casablanca,33.585281 : -7.573592, 33229,Tribunal de Casablanca,,Societe Anonyme, 10 000
CONSTRUCTIONS METALLIQUES T MENUISERIES METALLIQUES ET ALUMINIUM (IMENORD), entrepreneur de constructions metalliques, 1 Route De Sefrou,Fes,34.033333 : -5, 15175,Tribunal de Fes,,Societe Anonyme, 10 000
TECHNISON (STE) (TECHNISON), toutes operations consernant tous appareils electriques radio electrique etc, 49 Rue De Briey,Casablanca,33.58924 : -7.615085, 14395,Tribunal de Casablanca,,Societe Anonyme, 1 000
DCAUDITRAV," etudes, gestion, comptabilite, l'audit, la redaction de actes", 70 Felix Et Max Guedj,Casablanca,33.59522 : -7.62192, 63455,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
OSCAR GESTION (STE), entrepreneur de comptabilite, 10 Rue Sidi Yahya,Sale,34.022107 : -6.762546, 1203,Tribunal de Sale,,Societe a Responsabilite Limitee, 10 000
KISS (STE AGRICOLE DU), achat et exploitation de tous meubles du maroc, Compagnie Algerienne,Rabat,34.015049 : -6.832719999999995, 8661,Tribunal de Rabat,,Societe Anonyme, 4 200
TEMARA (STE AGRICOLE DE) (SATEM), toutes activites se rapportant a l'elevage et specialement a l'aviculture achat vente import export, Route Principale De Casa,Rabat,34.015049 : -6.83272, 19699,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000
LAPINOU (STE), confection import-export de tous articles de bonneterie, 113 Rue Fourat Maarif,Casablanca,33.578205 : -7.638255, 45941,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
MANUFACTURE DE CONFECTIONS MODERNES," fabrication, confection de vetements en tissus, cuires et peaux, des chaussures, de la maroquinerie", 80 Rue Ibnou El Marrakouchi,Casablanca,33.533333 : -7.583333, 41775,Tribunal de Casablanca,,Societe Anonyme, 300 000
A.B.C.E (ABCE), fabricant de vetements confectionnes vendant en gros, Residence Yasmina Avenue Hassan Ii Chez Ste Promonabisco,Skhirate- Temara,33.850816 : -7.039649, 30111,Tribunal de Rabat,,Societe Anonyme, 3 000 000
OULED ZIANE (STE IMMOBILIERE DES), toutes operations consernant immeubles batis au non batis codification de toutes constructions, Route Des Ouled Ziane,Casablanca,33.570022 : -7.577138, 20441,Tribunal de Casablanca,,Societe Anonyme, 250 000
GENIE EXPRESS, entrepreneur de travaux divers pour la construction, Rue 11 Janvier 29 Quartier Kadiri,Settat,32.992816 : -7.607052, 561,Tribunal de Berrechid,,Societe Anonyme, 105 000
HBG CONSEILS (HBG CONSEILS), bureau d'etudes et d'enquetes, Bd D'anfa N36a,Casablanca,33.59249 : -7.63281, 80093,Tribunal de Casablanca, 000513997000065,Societe Anonyme, 100 000
CONSTRUCTION SAMIT, promoteur a la construction d'immeuble, Lotissement Assalama Sidi Maarouf Magasin 89,Casablanca,33.58694440000001 : -7.6111111000000164, 142189,Tribunal de Casablanca, 000102042000054,Societe a Responsabilite Limitee, 100 000
RESTAURANT CHELLAH SUD, restaurant, 75 Route Liguza Arset Ihiri,Marrakech,31.6333333 : -8, 6643,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 300 000
OZ CHIMIE (OZ CHIMIE), fabricant et commercialisation de produits chimiques et, 3 Rue Sidi Brahim Residence D'or Quartier Gauthier,Casablanca,33.590786 : -7.632564, 65907,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000
DEVELOPPEMENT INDUSTRIEL ET MARITIME (STE DE) (INDUMA)," etude, representation, fabrication, montage, entretien, vente de tout type de materiel a vocation industrielle, miniere, commerciales, agricole", 47 Rue Chevalier Bayard,Casablanca,33.58694440000001 : -7.6111111000000164, 33787,Tribunal de Casablanca,,Societe Anonyme, 40 000
SOGECTA (STE) (SOGECTA), materiaux de construction et droguerie, 2 Place La Marche Verte,Taza,34.221061 : -4.010664, 155,Tribunal de Taza,,Societe a Responsabilite Limitee, 200 000
IGNI CONSTRUCTIONS (STE), entrepreneur de travaux divers de constructions, Face Bloc 117 Bernoussi,Casablanca,33.610869 : -7.504093, 93097,Tribunal de Casablanca,,Societe en Nom Collectif, 100 000
SAMPAN (LE) (SAMPAN (LE))," traiteur, laitier, patissier", Quartier Gauthier 41 Rue Ollier,Casablanca,33.590555 : -7.63485, 63729,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
SOCIETE AIR PHONE, concessionnaire de services telephoniques, 398 Av Khalid Ibn El Oualid Secteur 9 Bmo,Meknes (M),33.895 : -5.554722200000015, 20925,Tribunal de Meknes,,Societe a Responsabilite Limitee a Associe Unique, 100 000
FRANCO -MAROCAINE (STE FINANCIERE) (FINANROC)," operations financieres, immobilieres, commerciales, etc...", 28 Rue Gouraud,Fes,34.033333 : -5, 11143,Tribunal de Fes,,Societe Anonyme, 750 000
KAWKAB EQUIPEMENT, entreprise de travaux divers, Zankat Beyrouth N20,Sale,34.063055 : -6.779763, 4329,Tribunal de Sale, 000518344000066,Societe a Responsabilite Limitee, 300 000
BENTONITES (STE AFRICAINES DES) (SAB), exploitation d'argiles smectiques, Rue Du General Laperrine,Oujda-Angad,34.6866667 : -1.91138890000002, 1902,Tribunal de Oujda,,Societe a Responsabilite Limitee, 100 000
MED-TRAVEL, agence de voyages circuits et transports touristiques, 22 Av Mohamed V,Tanger-Assilah,35.470135 : -6.029685, 4709,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000
MOBARIKA D'ESES ET TRAVAUX (STE), entrepreneur de travaux divers, Rue 48 N41 Hay Farah,Rabat,33.987556 : -6.807352, 44175,Tribunal de Rabat, 000529369000084,Societe a Responsabilite Limitee, 100 000
GOBEX (GOBEX)," toutes operations de confection, transformation, finition d'industries sous toutes leurs formes etc...", 22 Rue De Turgot Appt N11,Casablanca,33.588317 : -7.638232, 56453,Tribunal de Casablanca,,Societe Anonyme, 100 000
PROMOTION COMMERCIALE ET INDUSTRIELLE (STE DE) (SOPRODI), negociant, Rue Imam Al Kebab Belvedere N13,Casablanca,33.59281 : -7.59516, 66613,Tribunal de Casablanca,,Societe Anonyme, 100 000
CLAIRE VILLIER," exploitation du salons du coiffure et d'instituts de beaute, negoce et representationde produits de beaute et de parfumerie", 13 Rue Lassale,Casablanca,33.591247 : -7.614818, 15575,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 500 000
ELECTRICAS MARROQUIES (EMSA)," exploitation d'industrie electrique sous toutes ses formes et notamment par creation, centre electrique destines a la fourniture d'energie...", Rue Maarakat Annouale N1,Tetouan,35.569065 : -5.371705, 182,Tribunal de Tetouan,,Societe Anonyme, 50 000 000
MAVISA, industrie de bois," Rue Jamal Eddine Afghani, Rez-de-chaussee Imm Soukna Mouriha",Tanger-Assilah,35.775306 : -5.801492, 14431,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000
MACHINEX (A LA STE), achat vente en gros demi-gros et detail de saens appareils electriques et tsf, 187 Rue De L'aviation Francaise,Casablanca,33.58694440000001 : -7.6111111000000164, 9389,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 500 000
CONSERVE DES PRODUITS ALIMENTAIRES (INDUSTRIE DE LA) (ICPA), le negoce en general la representation de tous produits marchandises denrees alimentaires..., 69 Rue Du Prince Moulay Abdellah,Casablanca,33.58904 : -7.61859, 32391,Tribunal de Casablanca,,Societe Anonyme, 10 000
PROMOTION DU COMMERCE EXTERIEUR (ETS DE) (EPROC), marchand exportateur d'une seule espece de marchandises, Av Hassan Ii Imm Karbid,Agadir-Ida Ou Tanane,31.12001849999999 : -6.067919399999937, 2037,Tribunal de Agadir,,Societe Anonyme, 100 000
MAROC (CIRQUE ROYALE DU)," operations mobilieres et immobilieres, financieres et commerciales", 11 Av De L'armee Royale,Casablanca,33.573151 : -7.552959, 28201,Tribunal de Casablanca,,Societe Anonyme, 30 000
COUSIN MAROC," exploitant de filature, import de matieres premieres, export d'articles fines ou semi-fines", Rue 12 Hay Tarik N 10 Sidi Bernoussi,Sidi Bernoussi (AR),33.58694440000001 : -7.6111111000000164, 53503,Tribunal de Casablanca,,Societe Anonyme, 4 100 000
FAIROUZ TEXTILES (FAIRTEX), confection de textile, Av Choaib Dokkali N 53 Hay Belaire,Tanger-Medina (AR),35.77639 : -5.82747, 5371,Tribunal de Tanger, 001727036000062,Societe a Responsabilite Limitee a Associe Unique, 10 000
FLY DRIVE TOURS (FDT), transport touristique, 2 Avenue Amir Moulay Abdellah,Rabat,34.018841 : -6.834015, 25089,Tribunal de Rabat,,Societe a Responsabilite Limitee, 300 000
BADR DE CONSTRUCTION DE BATIMENTS ET OUVRAGES D'ART (STE), terrassement cylindrage goudronnage pavage et autres etc, 12 Rue De Corse,Rabat,34.015049 : -6.83272, 18901,Tribunal de Rabat,,Societe Anonyme, 10 000
MAROCAINE DE TRANSACTIONS (STE), toutes transactions commerciales," 94, Rue El Bakri -ex Dumont D'urville",Casablanca,33.5923 : -7.60448, 28113,Tribunal de Casablanca, 001512859000089,Societe a Responsabilite Limitee, 42 200
CIE MAROCAINE POUR L'INDUSTRIE DU LIEGE (COMIL), industrie du liege, Route De Casa,Rabat,34.015049 : -6.832719999999995, 3739,Tribunal de Rabat,,Societe Anonyme, 84 000 000
SABETCO (SABETCO), bureau d'etudes, Bd Hassan Ii Immeuble Des Habous N2 E,Marrakech,31.631167 : -8.012073, 6737,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 10 000
OPTIMISATION ET METHODE DE GESTION (OPTIMEG), etude progets pour optimisation des moyens operationnelle par vehicules, Chevalier Bayard Place Al Yassir,Casablanca,33.593321 : -7.597871, 42903,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
INTERNATIONALE SPONSORING ET PROMOTION, tenant agence publicitaire, Rue Mohamed Boufous,Agadir-Ida Ou Tanane,30.423263 : -9.593512, 3331,Tribunal de Agadir,,Societe a Responsabilite Limitee, 1 000 000
MISS COSMITIC, achat et vente et imporation des produits cosmetiques, Rue 15 Derb El Koudia Ndeg 155 Cite Djemaa Casa,Casablanca,33.58694440000001 : -7.6111111000000164, 117447,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
CONGELAY, toute activite liee a la mer comme la congelation des fruits de mer et commercialisation des produits de la mer et l'industrie de la peche maritime en general et impor export., Av. De La Mecque Imm. Des Habous 3eme Etage Appt. 17,Laayoune,27.133789 : -13.176787, 3273,Tribunal de Laayoune,,Societe a Responsabilite Limitee a Associe Unique, 100 000
RECODIS (RECODIS), marchand effectuant import-export, 242 Bd Zerktouni,Casablanca,33.58963 : -7.63457, 83131,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 425 000
ZIAIDA (MENUISERIE), travaux de menuiserie, Hay El Qods Rue 23 Ndeg 97 Bernouss,Casablanca,33.6154283126 : -7.49227246256, 92445,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000
RACINE PLUS, etablissement de la formation professionnelles, Port Urbain Massira I Pavillon E N10,Marrakech,31.620526 : -8.057657, 10409,Tribunal de Marrakech, 001790660000084,Societe a Responsabilite Limitee, 100 000
STE IMMOBILIERE POUR LE DEVELOPPEMENT TOURISTIQUE DU SAHARA (SIDETSA), bureau d'etudes, Onmt 22 Rue D'alger,Rabat,34.017325 : -6.825415, 24635,Tribunal de Rabat,,Societe Anonyme, 6 100 000
AGADECO (AGADECO)," entrepreneur de decoration, entrepreneur de menuiserie", Kissariat Zerkd N17 Quartier Industriel,Agadir-Ida Ou Tanane,31.12001849999999 : -6.067919399999937, 2313,Tribunal de Agadir,,Societe Anonyme, 120 000
GHERISS (STE)," forageet sondage , construction en generale", 469 Al Bassatin,Meknes,33.8894313 : -5.5237096, 18083,Tribunal de Meknes,,Societe a Responsabilite Limitee, 10 000
TRUSTFINCO, la gerance exclusive de patrimoine immobilier present ou futur, 17 Av Du Prince My Abdellah,Tanger-Assilah,35.778512 : -5.809727, 951,Tribunal de Tanger,,Societe Anonyme, 149 400
PISHON METAL MAROC, traitement recuperation recyclage tri de tous dechets & rejets," Lot Epinal, Rue Epinal Imm N 81 Maarif",Casablanca,33.58682 : -7.614185, 141471,Tribunal de Casablanca, 000513871000072,Societe a Responsabilite Limitee, 100 000
REPFIL," toutes operations commerciales, mobilieres ou et immobilieres se rattachant directement ou indirectement aux objets ci dessus specifies", Lot Kriem Zone Industrielle Ain Atig,Rabat,33.97587 : -6.876581, 52873,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000
SAHARA METAL," distribution de quincaillerie, marchand importateur vendant en gros, marchand de quincaillerie en gros"," 144, Rue Mohamed Smiha, Residence Jawharate Mouhamed Smiha, 6eme Etage, Appt 35",Casablanca,33.590177 : -7.608408, 93907,Tribunal de Casablanca, 000038925000020,Societe a Responsabilite Limitee, 700 000
METASOFT, import export et informatique, 02 Av El Ghazali Appt N 1 Les Orangers.,Rabat,34.015049 : -6.832719999999995, 60691,Tribunal de Rabat, 000043102000052,Societe a Responsabilite Limitee, 100 000
SANIBONANI (SANIBONANI)," marchand d'importateur, marchand d'appareils sanitaires", 47 Rue Du Dr Baur,Casablanca,33.587976 : -7.606961, 60889,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
EL KOHEN TOURISME," l'exploitation de l'hotel la participation directe ou indirecte a toutes affaires similaires ayant en vue, le developpement de l'hotellerie et du tourisme au maroc", Av Bir Anzarane,Souk El Arbaa (M),34.68947 : -6.003949, 24839,Tribunal de Souk Larbaa, 001727069000044,Societe a Responsabilite Limitee, 100 000
LAKBIRA AUTO, mecanique et tolerie, 25 Rue Ahmed Amine,Meknes,33.89432 : -5.534925, 19231,Tribunal de Meknes,,Societe a Responsabilite Limitee, 1 000 000
MAROC (OMNIUM IMMOBILIER DU), toutes operations ou entreprises industrielles commerciales financieres mobilieres et immobilieres forestieres agricoles, 6 Rue Pierre Loti,Rabat,34.015049 : -6.832719999999995, 3226,Tribunal de Rabat,,Societe Anonyme, 1 500 000
MAZOLA (REVETEMENT), entrepreneur de batiments, El Oulfa Lot Elouard Lot 118,Casablanca,33.5564236661 : -7.67990817114, 56755,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
RADISSE IMPORT-EXPORT," negoce, assistance", Hay Moulay Abdellah Bd Taza Rue 71 Ain Chock,Casablanca,33.58694440000001 : -7.6111111000000164, 66817,Tribunal de Casablanca, 000084566000001,Societe a Responsabilite Limitee, 100 000
STE NEW DOM, entrepreneur de construction, Assif D N104 Bd 18 Novembre,Marrakech-Medina (AR),31.6333333 : -8, 7255,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 10 000
PRESTIGE DECO," la societe a pour objet au maroc et a l'etranger : - industrie du marbre et travaux divers, notre objectif principal se resume en la production des salles de bains en marbre ainsi que tous les productions afferents a l'objectif principal - transport de marchandises et des personnels ; - import export et travaux divers et plus generalement toutes operations commerciales, industrielles, financieres, mobilieres ou immobilieres se rattachant directement ou indirectement aux objets precites ou susceptible d'en favoriser la realisation et le developpement de la societe. , la societe pourra faire toutes ces operations, soit seule, soit en participation avec toutes autres societes ou personnes, elle pourra les faire, soit par l'exploitation directe, par location, regie sous toutes formes, soit pour le compte de tiers.", Reseau D'ecole De Pepiniere Des Entreprises Et Des Locaux Professionnels Ndeg 31,Tanger-Medina (AR),35.774495 : -5.81018, 31743,Tribunal de Tanger, 001453594000035,Societe a Responsabilite Limitee a Associe Unique, 10 000
B.E BETON, - transport de beton pour la construction d'immeuble; - transport de marchandises. - promoteur a la construction d'immeubles. travaux divers entrepreneur de travaux divers - transport par automobile de materiaux de toute nature - marchand de materiel de construction de toute nature, Bloc G 2 N 123 Ouled Oujih,Kenitra (M),34.257394 : -6.590154, 31545,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 100 000
SPORT AUTO NEGOFI, achat et vente de voitures d'occasion reparations, 126 Rue De Fes,Tanger-Assilah,35.74676 : -5.80658, 111,Tribunal de Tanger,,Societe Anonyme, 1 000
ANGAD, tenant un magasin plusieurs especes de marchandises, 22 Rue Ibnou Rochd,Oujda (M),34.6866667 : -1.91138890000002, 14417,Tribunal de Oujda,,Societe a Responsabilite Limitee, 2 000 000
HORIZON CAPITAL, ste de participation financiere, 131 Bd Abdelmoumen 4eme Etage N 17,Casablanca,33.58012 : -7.6249, 158501,Tribunal de Casablanca, 000214743000017,Societe a Responsabilite Limitee, 100 000
AMAN BUS, entrepreneur d'omnibus, 81 Avenue Des Far,Casablanca,33.57356 : -7.55212, 51157,Tribunal de Casablanca,,Societe Anonyme, 100 000
BROUKA 17, gerant d immeubles," 86, Bd D'anfa",Casablanca,33.59249 : -7.63281, 168521,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
SEBOU (STE ANONYME DU), toutes operations sur vente courtage exportation de cereales, Boulevard Moulay Youssef Lot Industriel,Kenitra,34.265941 : -6.57377, 15404,Tribunal de Rabat,,Societe a Responsabilite Limitee, 281 000
ELECTRO INTER, entrepreneur de travaux divers, 349 Bd Mohamed V,Kenitra,34.279352 : -6.544314, 24475,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 95 000
SOUSS (CARTONS ET EMBALLAGES DU)," papiers, cartons et derives", Km 13 De Rp 40 Tikiouine,Agadir-Ida Ou Tanane,31.12001849999999 : -6.067919399999937, 655,Tribunal de Agadir,,Societe Anonyme, 50 000 000
MADANI (STE NEGOCE INTERNATIONAL), marchand importateur exportateur, Hassania 313 El Alia,Mohammedia,33.702852 : -7.372212, 801,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 100 000
YOUSSOUFI LOCATION SERVICES, location de voitures sans chauffeurs, Lotissement El Hassania Ii Imm 38 Appt 7 Au Etage 1 Gueliz,Gueliz (AR),31.6333333 : -8, 21869,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000
CONSTART, travaux de construction et travaux divers, 84 Gr D Hay Annour Sidi Othmane,Sidi Othmane (AR),33.555903 : -7.552163, 159709,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000
AFRICAIN (STE DE DEVELOPPEMENT) (SAVEDA), toutes operations commerciales, Ain Sebaa 8 Avenue Lyautey,Casablanca,33.58694440000001 : -7.6111111000000164, 24323,Tribunal de Casablanca,,Societe Anonyme, 10 000
ALFA COLOR (LABO), exploitant un atelier de travaux photographiques, Rue Abdelkrim Khattabi Imm Benmoussa Nayouch N32,Fes,34.03814 : -4.99953, 15845,Tribunal de Fes,,Societe Anonyme, 300 000
IMPERCARTON (STE) (IMPERCARTON), toutes operations concernant les papiers et cartons et leurs produits, Rue Du Mont Cinto,Casablanca,33.58694440000001 : -7.6111111000000164, 6583,Tribunal de Casablanca,,Societe Anonyme, 6 000 000
MOUSSAHAMA NEGOCE PIECES INDUSTRIELLES (AL) (ALNEPI), marchand de pieces detachees pour voitures, 55 Bd 10 Mars Sidi Othman,Casablanca,33.55216 : -7.55264, 72023,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
STE AIT BELKHAIR DISTRIBUTION ET INDUSTRIE (BEDIN), jnegoce import export, Bd Mohamed Cheikh Essasdi Commune Dcheira,Agadir-Ida Ou Tanane,31.12001849999999 : -6.067919399999937, 1279,Tribunal de Inzegane,,Societe a Responsabilite Limitee, 100 000
AFRICAINE MARITINE INDUSTRIELLE AGRICOLE ET COMMERCIALE (STE), l'achat la vente la mise en fabrication la transformation le stockage de tous produits industriels agricoles maritimes et commerciaux etc, 5 Rue Delcasse,Rabat,34.0206430292 : -6.82881491588, 10590,Tribunal de Rabat,,Societe Anonyme, 3 000 000
CONSULTANT EN INVESTISSEMENTS FINANCEMENTS INDUSTRIES ET MANAGEMENTS (CIFIMA), ingenieur conseil, Bd Brahim Roudani N332,Casablanca,33.58224 : -7.633005, 77545,Tribunal de Casablanca,,Societe Anonyme, 50 000
LASER ENERGOMACH, negoce et distribution tout produit industriel agricole etc..., Rue 7 N86 Arsalane Ain Borja,Casablanca,33.5833641105 : -7.57992724765, 67043,Tribunal de Casablanca, 001428625000048,Societe a Responsabilite Limitee, 100 000
SOCIETE DE CREDIT A LA CONSOMMATION (TASLIF), effectuants operations d'avances et prets," 29, Boulevard Moulay Youssef",Casablanca,33.59529 : -7.63021, 48059,Tribunal de Casablanca, 001553663000010,Societe Anonyme, 214 725 000
GENERALE DE MONTAGNES ET DE SERVICES (STE) (SGMS)," fabricant ou marchand d'objets concernant l'equipement vendant en gros, marchand importateur", 145 Bd Ibnou Sina,Casablanca,33.58694440000001 : -7.6111111000000164, 42749,Tribunal de Casablanca,,Societe Anonyme, 6 000 000
TANIA (STE), ameublement de decoration, 209 Bd Ghandi,Casablanca,33.568852 : -7.643162, 90015,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 800 000
AFRICAINE DE GRANDS EQUIPEMENTS (STE) (SFEG), commerce et industrie de tous materiels et equipements industriels representation vente commission construction, 8 Rue De Lille,Casablanca,33.58694440000001 : -7.6111111000000164, 16833,Tribunal de Casablanca,,Societe Anonyme, 10 000
RACHIDIA DE MENUISERIE (STE), entrepreneur de travaux divers et de menuiserie, Rue De Rabat Lotissement Marie Idda N49,Skhirate- Temara,33.911335 : -6.912212, 30517,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000
SNICAA BRAHIM HADDOUCH ET ABDELLAH CHAKOUR, entrepreneur constructions metalliques, Sidi Moumen Groupe 9 Rue 2 N60,Casablanca,33.588406 : -7.498113, 74065,Tribunal de Casablanca,,Societe en Nom Collectif, 50 000
LABE INGENIERIE, bureau d'etudes et constructions, N27 Av Ibn Khaldoun,Sale,34.0456478 : -6.8024781, 4135,Tribunal de Sale,,Societe a Responsabilite Limitee, 100 000
