Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
ASBITA," commerce de produits chimiques, phytosanitaires import export et commerce de bois et fer et tous produits a base de ces matieres"," Km 6, Route Oualidia Jorf Lasfar, My Abdellah",El-Jadida,33.254174 : -8.508038,1795,Tribunal de Eljadida,68685000048.0,,societe-asbita-92027, 30 000 000 
LARBI BOIS," le commerce de tous bois et materiaux de construction, marchand importateur vendant en gros et de bois de construction transport de marchandises pour le compte d'autrui", Ndeg 38 Rue Emile Brunet Ain Borja,Casablanca,33.581584 : -7.57805,35315,Tribunal de Casablanca,83820000064.0,,societe-larbi-bois-59150, 20 000 000 
PHONE SERVIPLUS, centre d'appel, 26 Rue Mohamed Kamal,Casablanca,33.59645 : -7.61486,118857,Tribunal de Casablanca,1645001000012.0,,societe-phone-serviplus-127407, 2 000 000 
ABDA CEREALES, importation et commercialisation de grains, Km 4 Route Had Hrara B.p : 524,Safi (M),32.300312 : -9.22095,1177,Tribunal de Safi,103001000060.0,,societe-abda-cereales-96155, 37 500 000 
CASA PROFIL, transformation et commercialisation d'articles metallurgiques, Zone Industrielle Tranche 21 Zenata,Ain Harrouda(M),33.6833333 : -7.383333300000004,915,Tribunal de Mohammedia,1537864000074.0,,societe-casa-profil-43274, 28 000 000 
BODOR MILLS, import export - semoulerie industrielle, Angle Rues El Gara Et Capitaine Veuillanier,Casablanca,33.607157 : -7.563753,137317,Tribunal de Casablanca,190728000074.0,,societe-bodor-mills-154069, 30 000 000 
SUCRERIE RAFFINERIE DE L'ORIENTAL (SUCRAFOR ), fabrication et commerce de sucre de betteraves,,,33.58694440000001 : -7.6111111000000164,31079,Tribunal de Casablanca,1526218000042.0,,societe-sucrerie-raffinerie-de-l-oriental-65992, 66 200 300 
MATIMEX (MATIMEX), terrassement et genie civil - location de materiel de travaux public - exploitation de carriere," Route 3007, Rmel Lhlal, Bouskoura,",Bouskoura,33.4867446407 : -7.66882706468,42165,Tribunal de Casablanca,1554407000001.0,,societe-matimex-54583, 3 000 000 
SOFT (SOFT), fabrication de fils," Route 110, Km 11, Boulevard Chefchaouni Quartier Industriel Ain Sebaa.",Ain-Sebaa (AR),33.607914 : -7.536169,38503,Tribunal de Casablanca,1610026000042.0,,societe-soft-62414, 40 000 000 
MED SHIPPING COMPANY MAROC (MSC), agent maritime consignation l'affretement et le stevedoring le transit ainsi que l'import export,,,33.573254 : -7.598515,99797,Tribunal de Casablanca,38938000057.0,,societe-med-shipping-company-maroc-102228, 14 000 000 
STE ATELIERS INDUSTRIELS CHERIFIENS (A.I.C)," fabrication et montage d'equipements de signaletique interieure, enseignes publicitaires et signalisation routiere", 3 Impasse N1 Zone Industrielle Bir Rami,Kenitra (M),34.257394 : -6.590154,15042,Tribunal de Kenitra,1526273000012.0,,societe-ste-ateliers-industriels-cherifiens-19159, 24 000 000 
COMPAGNIE GENERALE DE REMPLISSAGE DE GAZ (COGEGAZ), production et distribution de gaz et combustibles, 32 Bd Argentine 1er Etage Rte De Serfrou,Fes-Medina (AR),34.00713 : -4.97799,24075,Tribunal de Fes,199986000077.0,,societe-compagnie-generale-de-remplissage-de-gaz-151809, 9 000 000 
SOCIETE MAROCAINE DE STOCKAGE (SOMAS)," etude, realisation et gestion de stockage de gaz butane", Oued El Maleh Lot Des Petroliers,Mohammedia,33.702852 : -7.372212,2405,Tribunal de Mohammedia,695000053.0,,societe-societe-marocaine-de-stockage-103586, 60 000 000 
CHAABI LOCATION LONGUE DUREE (CHAABI LLD), location d'automobiles en longue duree., 19 Rue Des Papillons Quartier Oasis,Casablanca,33.55699 : -7.64213,130533,Tribunal de Casablanca,27941000059.0,,societe-chaabi-location-longue-duree-147286, 31 450 000 
BULL MAROC, vente et installation d'equipements informatiques et de logiciels," 20270 Casanearshore Park, 1100, Bd Al Qods Shore 10, Plateau 001, Quartier Sidi Maarouf",Casablanca,33.58694440000001 : -7.6111111000000164,15491,Tribunal de Casablanca,1592451000043.0,,societe-bull-maroc-71556, 6 000 000 
MOULINS NAJAH EL JADIDA, exploitation de moulins - minoterie., Rue Jerada Quartier Industriel Dokkarat,Fes-Medina (AR),34.044385 : -5.023837,15285,Tribunal de Fes,1548784000017.0,,societe-moulins-najah-el-jadida-26397, 12 000 000 
CERAMIQUE OUADRAS, fabrication et commerce de briques - production de carreaux - transport de marchandises, 14 Avenue Ben Hssain Bab Tout Ndeg15,Marrakech-Medina (AR),31.624961 : -7.992414,1759,Tribunal de Tetouan,85082000037.0,,societe-ceramique-ouadras-42682, 68 000 000 
MAWARID MAROCAINE, restauration," 3, Rue Abdelkader Elmazini-ex Corneille 2eme Etage",Casablanca,33.591545 : -7.62793,61461,Tribunal de Casablanca,1541211000012.0,,societe-mawarid-marocaine-48976, 72 000 000 
BUREAU MAGHREBIEN DE PRODUITS PHARMACEUTIQUES (BUMAGECO), vente de produits pharmaceutiques," Rue D'ifni, Immeuble Adil N 6",Tanger-Assilah,35.76864 : -5.81273,691,Tribunal de Tanger,1589782000035.0,,societe-bureau-maghrebien-de-produits-pharmaceutiques-41451, 4 750 000 
STE MAROCAINE DE LA PROMOTION D'INOX (PROMINOX), fabrication et commercialisation de produits inox - chaudronnerie, Bd Ahl Loghlam Km 12 Sidi Bernoussi,Sidi Bernoussi (AR),33.59143 : -7.49466,36989,Tribunal de Casablanca,1524640000065.0,,societe-ste-marocaine-de-la-promotion-d-inox-62545, 75 000 000 
MY LOGE, promotion immobiliere," Angle Jamal Eddine Afghani & Bethooven. 2. Immeuble Rabie I, Entre Sol. Ndeg 60",Tanger-Assilah,35.775306 : -5.801492,25171,Tribunal de Tanger,1532815000015.0,,societe-my-loge-160257, 100 000 
MARPROM, import export - promotion immobiliere - location de biens immobiliers - publicite - travaux de construction," Propriete Hania 20, Complexe Targa, Residence El Yasmine 40000.",Marrakech-Medina (AR),31.6333333 : -8,22129,Tribunal de Marrakech,1562671000070.0,,societe-marprom-168898, 100 000 000 
SODALMU, embouteillage de boissons sodas et eau de table,,,33 : -7.616666699999996,1947,Tribunal de Berrechid,,,societe-sodalmu-115728, 9 000 000 
FERTI-GHARB, commerce de gros de produits chimiques., Lot 20 Quartier Industriel Bir Rami Est,Kenitra (M),34.257394 : -6.590154,34057,Tribunal de Kenitra,1666059000060.0,,societe-ferti-gharb-254135, 200 000 
INDUSTRIELLE DU TUBE ACIER (INDUSTUBE), fabrication de tubes en acier," Zone Industrielle, Route De Tetouan Allee 2 Bp N 360 Lot 77",Tanger-Medina (AR),35.735182 : -5.765796,3109,Tribunal de Tanger,1526386000065.0,,societe-industrielle-du-tube-acier-60819, 60 000 000 
TRIO FER," vente de materiaux de construction, bois, fer, ciment.", 374 Lot Manazel Alimoun 5 Eme Etage Bd Abdelmomen -20000,Casablanca,33.58694440000001 : -7.6111111000000164,502011,Tribunal de Casablanca,65572000097.0,,societe-trio-fer-151667, 4 000 000 
ENTREPRISE AGAZOUMI, exploitant de mines - travaux de constructions et travaux divers," Arrondissement Gueliz, Cite Mohammadia, Avenue Allal El Fassi Residence Kawtar Plateau N 3 Premier Etage",Gueliz (AR),31.651694 : -8.002725,17737,Tribunal de Marrakech,74489000092.0,,societe-entreprise-agazoumi-145364, 15 000 000 
CONTROLE ET EQUIPEMENT INDUSTRIELLE MAROCAINE D'EQUIPEMENT (CIM EQUIPEMENT ), ingenierie et automatisme, N25/27 Rue Karatchi 1e Etage,Casablanca,33.59407 : -7.605195,46387,Tribunal de Casablanca,1525785000093.0,,societe-controle-et-equipement-industrielle-marocaine-d-equipement-83691, 10 000 000 
LA MAMOUNIA, hotel 5 etoiles, Avenue Bab Jdid Rez-de-chaussee De L'hotel Mamounia,Marrakech-Medina (AR),31.621604 : -7.999138,5383,Tribunal de Marrakech,1527428000061.0,,societe-la-mamounia-514, 341 146 300 
BENNES MARREL MAROC, la representation la vente de tous materiels d'entreprise et de carrieres reparation et entretien de tout materiel automobile et tous accessoires," 32, Rue Abou Ishaq Chirazi",Casablanca,33.58082 : -7.64264,8519,Tribunal de Casablanca,1524376000015.0,,societe-bennes-marrel-maroc-74647, 10 000 000 
ENTREPRISE RAZKI, travaux de batiments - travaux publics - forage de puits - revetement du sol - decoration ameublement, 14 Rue Ichbilya,Oujda-Angad,34.686527 : -1.909366,14561,Tribunal de Oujda,1691251000040.0,,societe-entreprise-razki-24083, 9 200 000 
EURO GRUES MAROC, vente et location du materiel de construction et des grues - achat et location de tous materiels et engins de construction et de batiment - entrepreneur de travaux divers de construction - transport des matieres premieres et des produits finis se rattac, Angle Rue Lahore Et Bd Sayed Kotb Residence Mykonos Building Bureau 14 Local N 3,Tanger-Medina (AR),35.773927 : -5.796687,21939,Tribunal de Tanger,1539770000022.0,,societe-euro-grues-maroc-142442, 18 910 500 
STE MAROCAINE SIMMONS (S.O.M.S)," fabrication de matelas, sommiers metalliques, salons - import export"," 2, Allee Des Sauges Ex Souakenbi Ain Sebaa",Ain-Sebaa (AR),33.60246 : -7.54393,8661,Tribunal de Casablanca,1524607000083.0,,societe-ste-marocaine-simmons-2695, 1 710 000 
SCHOLZ METTALL MAROKKO," traitement industriel par broyage mecanique des ferrailles, -conditionnement par cisaillage compactage de tous les metaux de recuperation, le commerce de toutes les matieres premieres metalliques, en particulier les dechets de metaux, leur maintement et valorisation tant sur le marche national qu'a l'exploitation et l'importation. et plus generalement toutes operations commerciales, industrielles, financieres, mobilieres et immobilieres pouvant se rattacher directement ou indirectement aux activite sus -indiquees ou susceptible d'en favoriser la realisation"," Km2, Route De Rabat 12050 Bp 4363",Skhirate (M),33.852949 : -7.037165,69957,Tribunal de Rabat,1435855000002.0,,societe-scholz-mettall-marokko-211516, 3 000 000 
ACHCHARIKA ALMOUTTAHIDA LILMANAJIM (AML), exploitation de carrieres - fabrication de gravette et sable - transport," 20 Rue Chemin Des Dahlias, Ain Sebaa",Ain-Sebaa (AR),33.58694440000001 : -7.6111111000000164,58571,Tribunal de Casablanca,1538810000043.0,,societe-achcharika-almouttahida-lilmanajim-50831, 25 000 000 
ALEPTEX (ALEPTEX), fabrication et tissage de tapis., Km 10 Rte D'el Jadida Zone Industrielle Lissasfa,Casablanca,33.532301 : -7.6734,65085,Tribunal de Casablanca,1529734000073.0,,societe-aleptex-41144, 45 000 000 
CTM MESSAGERIE, transport de messagerie et de marchandises - location de camions," 23, Rue Leon L'africain",Casablanca,33.595815 : -7.611525,100235,Tribunal de Casablanca,1524161000097.0,,societe-ctm-messagerie-104393, 21 750 000 
COMPTOIRE AGRICOLE DES SEMENCES (CASEM )," vente de produits agricoles - semences, engrais et phytosanitaire."," Ryad Anfa Business Square, Etage 2 Appt 27, Boulevard Omar Al Khayam",Casablanca,33.58694440000001 : -7.6111111000000164,49117,Tribunal de Casablanca,1525041000005.0,,societe-comptoire-agricole-des-semences-54425, 14 000 000 
SANTIS," production et exportation de plantes medicales, epices et huiles essentielles, produits sterilises a la vapeur"," 7, Rue Abou Ghaleb Chiani Ex Velay, Maarif",El Maarif (AR),33.58161 : -7.63919,63483,Tribunal de Casablanca,84489000043.0,,societe-santis-48954, 54 000 000 
MERCK SHARP ET DOHME (MSD), commerce et fabrication de gros de produits pharmaceutiques," 166-168, Boulevard Zerktouni 4 Et 5eme Etage",Casablanca,33.58325 : -7.622245,88007,Tribunal de Casablanca,1529870000087.0,,societe-merck-sharp-et-dohme-85157, 5 421 000 
SIEMENS ENERGY, operation et maintenance de la centrale thermique.," Km 28,5 Route Nationale De Rabat. Oued Tahaddart",Tanger-Medina (AR),35.746434 : -5.808113,23249,Tribunal de Tanger,67397000001.0,,societe-siemens-energy-149390, 100 000 
SOCIETE DE FABRICATION DE RESERVOIRS METALLIQUES DU NORD (SOFRENOR), fabrication et reparation des bouteilles de gaz - fabrication d'emballages metalliques, Bp 58 Zone Industrielle De Selouane,Nador (M),35.068294 : -2.929387,3575,Tribunal de Nador,1342000000059.0,,societe-societe-de-fabrication-de-reservoirs-metalliques-du-nord-85366, 45 319 900 
SUEZ EL BEIDA, nettoyage - traitement d'ordures menageres - traitement de dechets divers., 20 Boulevard Rachidi,Casablanca,33.59214 : -7.62478,68615,Tribunal de Casablanca,1541094000067.0,,societe-suez-el-beida-76456, 207 145 820 
MOULINS DOUKKARAT, minoterie, Avenue Khouribga Quartier Industriel Doukkarat,Fes,34.044721 : -5.031229,16153,Tribunal de Fes,1554121000060.0,,societe-moulins-doukkarat-78699, 14 750 000 
MARLOC, location de vehicules automobiles - organisation de voyages, 63 Bd Zerktouni,Marrakech,31.63574 : -8.015083,4659,Tribunal de Marrakech,86823000075.0,,societe-marloc-6143, 35 000 000 
LIBRAIRIE PAPETERIE NATIONALE, importation et distribution de livres, Lotissement El Farah Ii N 3 Quartier Industriel,Mohammedia (M),33.702852 : -7.372212,2893,Tribunal de Mohammedia,27326000077.0,,societe-librairie-papeterie-nationale-120236, 2 000 000 
LES CAFES DUBOIS, commerce de gros de produits alimentaires., 885 Quartier Industrielle Sapino Nouaceur 27000,Nouaceur,33.3611111 : -7.611388900000065,14829,Tribunal de Casablanca,1526497000075.0,,societe-les-cafes-dubois-75697, 40 000 000 
LES JARDINS DE LA PALMERAIE, vente d'appartements, Circuit De La Palmeraie Hotel Palmeraie Golf Palace Bp 1488,Marrakech,31.633333 : -8,5457,Tribunal de Marrakech,1536016000015.0,,societe-les-jardins-de-la-palmeraie-2794, 78 800 000 
RICHE BOIS, travaux de menuiserie en general, Angle Rues Cascade D'ouzoud Et Abdelouahed El Marrakechi Oukacha Ain Sebaa,Ain-Sebaa (AR),33.579656 : -7.56865,35723,Tribunal de Casablanca,83823000080.0,,societe-riche-bois-60459, 35 000 000 
ATLANTIQUE VISION, commerce des electromenagers, Espace 20-22 Sans Pareil Sidi Maarouf Lotissement Attaoufiq Angle Rue 1 N 63 Res De Chausse,Casablanca,33.52482 : -7.65048,137873,Tribunal de Casablanca,,,societe-atlantique-vision-153748, 39 350 000 
BRINK'S MAROC," transports de fonds, valeur", Plateaux Ndege11 Et E12- Immeuble E -2eme Etage-7 Allee Des Lauriers Parc D'activites Oukacha,Casablanca,33.58694440000001 : -7.6111111000000164,98795,Tribunal de Casablanca,1539726000046.0,,societe-brink-s-maroc-100952, 52 670 000 
SOCIETE D'EXPLOITATION DES HOTELS RYAD MOGADOR," activite hotelieres et touristiques, maitre d'hotel.", 239 Bd Mohamed V,Casablanca,33.593485 : -7.603666,111701,Tribunal de Casablanca,1535834000079.0,,societe-societe-d-exploitation-des-hotels-ryad-mogador-122700, 40 000 000 
IFRIQUIA PLASTIC (IFPLAST), transformateur de matieres plastiques,,,33.607914 : -7.536169,31103,Tribunal de Casablanca,1527937000092.0,,societe-ifriquia-plastic-66004, 83 000 000 
ENTRETIEN ET CONSTRUCTION GENERAL (ECG)," travaux de genie civil, assainissements et miniers", Residence Lakhdar Rue Jaafar Essadiq Immeuble E Appartement N 2 Agdal,Agdal Riyad (AR),34.015049 : -6.832719999999995,28541,Tribunal de Rabat,,,societe-entretien-et-construction-general-16029, 76 000 000 
SOCIETE D'EMPLISSAGE DE GAZ D'OUARZAZATE (OUARGAZ ), centre emplisseur de gaz - commerce en gros de gaz butane et propane," 146, Boulevard Mohamed Zerktouni",Casablanca,33.58325 : -7.622245,53871,Tribunal de Casablanca,1573000000062.0,,societe-societe-d-emplissage-de-gaz-d-ouarzazate-49862, 32 150 000 
SOCIETE D'ELEVAGE ET DE TRANSFORMATION DE LA DINDE (ELDIN)," elevage de dindes, abattage et transformation : motadelle, jambon de dinde, dinde fumee, salami de dinde, abattage de volailles"," Z. I Du Sahel, Lots 80/82, Bp 48 26 400",Sahel Oulad H'Riz,33.386362 : -7.909757,1937,Tribunal de Berrechid,1525938000036.0,,societe-societe-d-elevage-et-de-transformation-de-la-dinde-79184, 266 800 000 
TOSCANA GOMMA MAROC, fabrication et commercialisation de sieges et composants pour automobiles," Km 12, Autoroute De Rabat, Ain Sebea",Ain-Sebaa (AR),33.609434 : -7.519515,36789,Tribunal de Casablanca,1534158000032.0,,societe-promaghreb-60172, 16 900 000 
STE PROCUMAR (PROCUMAR), fabrication et commercialisation de chaussures modernes, Zone Industrielle Route De Rabat Bp 71,Larache,35.191658 : -6.147874,307,Tribunal de Larache,1526252000094.0,,societe-ste-procumar-250, 30 000 000 
OTIS-MAROC," installation et reparation d'ascenseurs, monte charges et escalators"," Lotissement Al Afak, Lot Ndeg 442 Rdc Et 1er Etage Californie Ain Chock",Ain-Chock (AR),33.532723 : -7.617047,31273,Tribunal de Casablanca,1531538000059.0,,societe-otis-maroc-59906, 1 111 000 
FERROPLAST MAROC, fabrication et commerce de tuyaux et accessoires en pvc et polyethylene, Km 5.6 Route Secondaire 107. Tit Melil Vers Mediona,Casablanca,33.557174 : -7.484752,100085,Tribunal de Casablanca,1534664000047.0,,societe-ferroplast-maroc-103351, 30 000 000 
TADLA GAZ (TADLAGAZ), distribution de gaz," Immeuble Tafraouti, Km. 7 Route De Rabat (ain Sebaa)",Ain-Sebaa (AR),33.609434 : -7.519515,36111,Tribunal de Casablanca,1664577000013.0,,societe-tadla-gaz-62612, 4 200 000 
CLARIANT MAROC, commerce de produits chimiques,,,33.57019 : -7.61825,27855,Tribunal de Casablanca,1537321000088.0,,societe-clariant-maroc-73920, 4 000 000 
BALTIMAR (BALTIMAR), fabrication d'huiles et graisses alimentaires hydrogenees, Caidat Soualem Cr Sahel Zone Industrielle Lot 37-38 B.p 99,Soualem,33.422836 : -7.853125,631,Tribunal de Berrechid,1524644000054.0,,societe-baltimar-23558, 90 600 000 
INDUSTRIE COTONNIERE DU MAROC (ICOMA), industrie cotonniere," Boulevard Abdelmoumen, Complexe Residentiel Central Park, Immeuble M, 8eme Etage, Bureau Ndeg 53",Mohammedia (M),33.704382 : -7.395362,117,Tribunal de Mohammedia,1509627000053.0,,societe-industrie-cotonniere-du-maroc-40717, 34 842 300 
SOCIETE POUR LA FILATURE DES FIBRES ARTIFICIELLES ET SYNTHETIQUES (FILARSY), industrie textile - texturation et filage, 85. Rue Zineb Ishak Ain Barja,Casablanca,33.58552 : -7.57977,29651,Tribunal de Casablanca,1589429000060.0,,societe-societe-pour-la-filature-des-fibres-artificielles-et-synthetiques-59753, 39 000 000 
GLOBAL DISTRIBUTION PHARMACEUTIQUE (GLOBALDIS), commerce de produits pharmaceutiques et veterinaires, Bd Abdelkrim Khattabi Rond Point Route De Casablanca Et Route De Safi,Marrakech,31.672734 : -8.005675,16007,Tribunal de Marrakech,1709244000005.0,,societe-global-distribution-pharmaceutique-133816, 5 000 000 
ROSAFLOR (ROSAFLOR), production agricole fruits et legumes - exportation, Douar Ourti Oued Essaf Abiougra,Chtouka- Ait Baha,30.256781 : -9.364916,6377,Tribunal de Inzegane,87524000063.0,,societe-rosaflor-33845, 10 000 000 
SOCIETE D'IMPRESSION DE TISSUS (SIMTIS), fabrication d'autres vetements et accessoires en tissus," Route 110, Km 11, Boulevard Chefchaouni Ain Sebaa",Ain-Sebaa (AR),33.607914 : -7.536169,30201,Tribunal de Casablanca,1587000000071.0,,societe-societe-d-impression-de-tissus-60993, 200 000 000 
BIOUGNACH EQUIPEMENTS (BIEQUIP), commerce d'appareils electromenagers, 14 Rue Antsirabe Ville Nouvelle,Meknes,33.898425 : -5.549045,20743,Tribunal de Meknes,1527542000087.0,,societe-biougnach-equipements-94920, 12 018 000 
SOCIETE COMMERCIALE POUR L'INDUSTRIE AU MAROC (SOCOPIM ), distribution des equipements dans le domaine de batiment et travaux publics,,,33.533333 : -7.583333,14975,Tribunal de Casablanca,79957000090.0,,societe-societe-commerciale-pour-l-industrie-au-maroc-75711, 20 000 000 
GRAND MOULIN DE FEDANE CHEMS (G.M.F.C), minoterie et meunerie, Km 1 Route De Rabat Snadla Lot Aouda N 38,Ksar El Kebir (M),35.001488 : -5.906449,345,Tribunal de Ksar Kebir,520965000012.0,,societe-grand-moulin-de-fedane-chems-144603, 10 000 000 
LOCASOM, location de voitures pour longue et courte duree," 240, Boulevard Zerktouni 1 Er Et 2eme Etage",Casablanca,33.58694440000001 : -7.6111111000000164,39703,Tribunal de Casablanca,1525825000080.0,,societe-locasom-56247, 83 042 900 
COOPER SOPHADET, commerce de gros de produits pharmaceutiques, Km 4 Ancienne Route De L'aviation,Tanger-Medina (AR),35.774495 : -5.81018,4033,Tribunal de Tanger,1580947000057.0,,societe-cooper-sophadet-36454, 8 880 000 
VINAIGRERIE MOUTARDERIE DU MAROC (VMM )," fabrication et distribution de condiments et assaisonnements (moutarde, mayonnaise, ketchup, sauce piquante, confitures, vinaigres & vinaigrettes)", Km 9.800 De La Route Principale D'el Jadida A Bouskoura,Casablanca,33.58694440000001 : -7.6111111000000164,30753,Tribunal de Casablanca,1527230000072.0,,societe-vinaigrerie-moutarderie-du-maroc-58824, 100 000 000 
FOUNDEVER CASA CITY," centre d'appel - commerce de produits et de services de telecommunication, audiovisuel et multimedia", 156 Residence Les Myrtilles Boulevard Yacoub Al Mansour 5eme Etage,Casablanca,33.577179 : -7.638923,122977,Tribunal de Casablanca,1524343000033.0,,societe-delta-call-133053, 1 500 000 
AGRIGENE, importation de vaches laitieres (genisses)," Marina, Boulevard Sidi Mohamed Benabdellah, Tour Crystal 1, 2eme Etage",Casablanca,33.605027 : -7.61988,143227,Tribunal de Casablanca,1328240000069.0,,societe-agrigene-161523, 29 000 000 
